"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000185262"	"ENSG00000185262"	4.82522318526395e-06	0	2	2	0.65337470502464	1	1
"ENSG00000163738"	"ENSG00000163738"	0.0279072073473322	0	2	2	-0.593453273118671	1	1
"ENSG00000038274"	"ENSG00000038274"	0.00418142945699138	0	2	2	-0.588711709740667	1	1
"ENSG00000109944"	"ENSG00000109944"	0.0239059168130969	0	2	2	-0.540788761219618	1	1
"ENSG00000143947"	"ENSG00000143947"	2.25035237928797e-78	0	2	2	-0.456817585602811	1	1
"ENSG00000055211"	"ENSG00000055211"	0.0207843317271291	0	2	2	-0.384142881097545	1	1
"ENSG00000100243"	"ENSG00000100243"	0.0419829922788431	0	2	2	0.377416622559467	1	1
"ENSG00000166596"	"ENSG00000166596"	0.0311965060622966	0	2	2	0.342175792463275	1	1
"ENSG00000176101"	"ENSG00000176101"	0.00163273979936315	0	2	2	0.332870445839467	1	1
"ENSG00000160201"	"ENSG00000160201"	0.0169013849289165	0	2	2	-0.296339686339981	1	1
"ENSG00000164405"	"ENSG00000164405"	0.000781163963102412	0	2	2	0.243526196973076	1	1
"ENSG00000140612"	"ENSG00000140612"	0.0170544900865797	0	2	2	-0.226834884545751	1	1
"ENSG00000179262"	"ENSG00000179262"	0.0133005997361296	0	2	2	0.221239773508677	1	1
"ENSG00000129625"	"ENSG00000129625"	0.0345393945205928	0	2	2	0.20859540593985	1	1
"ENSG00000160932"	"ENSG00000160932"	0.0388751038314038	0	2	2	-0.147810448506702	1	1
"ENSG00000118680"	"ENSG00000118680"	2.55678317202682e-05	0	2	2	-0.108835345135607	1	1
"ENSG00000185043"	"ENSG00000185043"	0.00312400452268045	0	2	2	-0.0971889568583034	1	1
"ENSG00000119655"	"ENSG00000119655"	0.0336063914304104	0	2	2	0.0722261031666275	1	1
"ENSG00000173660"	"ENSG00000173660"	0.0251093672948239	0	2	2	0.0702776543379497	1	1
"ENSG00000142541"	"ENSG00000142541"	0.00103850913544264	0	2	2	0.0515841630943575	1	1
"ENSG00000170345"	"ENSG00000170345"	0.0273204591413254	0	2	2	0.0504374505044877	1	1
"ENSG00000167996"	"ENSG00000167996"	0.0214898782945824	0	2	2	0.0221903804594684	1	1
"ENSG00000164919"	"ENSG00000164919"	1.18621359532689e-72	1.84210126985097e-65	4	2	0.791512252185496	1	1
"ENSG00000196754"	"ENSG00000196754"	2.60412718504663e-91	8.91969331021894e-65	4	1	0.826689279568159	1	1
"ENSG00000131981"	"ENSG00000131981"	1.35090387678664e-113	1.87881334801528e-57	3	1	-0.287494610404622	1	1
"ENSG00000147403"	"ENSG00000147403"	1.0402007103806e-156	8.20601991777173e-38	6	2	0.925491240162465	1	1
"ENSG00000149273"	"ENSG00000149273"	2.43139914744697e-255	8.46183809044722e-38	7	1	-0.61377387524178	1	1
"ENSG00000115457"	"ENSG00000115457"	3.27261932939844e-38	6.22734612238133e-34	5	2	-0.625648473430186	1	1
"ENSG00000174547"	"ENSG00000174547"	5.11393892370225e-37	3.61846109259591e-32	4	1	-0.752270269930505	1	1
"ENSG00000113732"	"ENSG00000113732"	5.01898915337597e-103	1.10465605837464e-31	3	1	-0.80300110038253	1	1
"ENSG00000173812"	"ENSG00000173812"	3.79193561744229e-24	2.56789194725101e-26	3	1	-0.331190001921574	1	1
"ENSG00000138326"	"ENSG00000138326"	3.4992879354067e-42	6.75403056041701e-26	4	1	-0.193177907930922	1	1
"ENSG00000114942"	"ENSG00000114942"	4.97915659832895e-62	6.85451320106204e-25	3	1	-0.195059876271184	1	1
"ENSG00000122026"	"ENSG00000122026"	1.89591371933564e-60	7.63799424100612e-23	3	1	0.36182859632879	1	1
"ENSG00000163435"	"ENSG00000163435"	4.49802069280836e-154	1.17106200533516e-22	6	1	0.573952139073804	1	1
"ENSG00000173486"	"ENSG00000173486"	3.27261932939844e-38	3.51838795575581e-21	3	1	-0.551015968686504	1	1
"ENSG00000174748"	"ENSG00000174748"	6.75689535387461e-289	1.38493260155228e-19	5	1	-0.840223185817579	1	1
"ENSG00000100650"	"ENSG00000100650"	6.85503917923402e-40	2.24099882145676e-18	5	1	0.531278521650992	1	1
"ENSG00000168003"	"ENSG00000168003"	1.13201601771626e-23	1.79111093057795e-17	4	1	0.602740292556604	1	1
"ENSG00000113387"	"ENSG00000113387"	3.04912725413146e-26	7.90660784150174e-15	3	1	-0.727654499931544	1	1
"ENSG00000163399"	"ENSG00000163399"	3.97665236267932e-19	8.56469188098624e-15	5	1	0.671502866869473	1	1
"ENSG00000241468"	"ENSG00000241468"	1.00401902439211e-45	4.94545836914978e-13	3	1	-0.388297336233151	1	1
"ENSG00000130066"	"ENSG00000130066"	1.18739865940922e-47	1.05625775174581e-12	6	1	-0.19159946890003	1	1
"ENSG00000101608"	"ENSG00000101608"	8.02812968706875e-49	3.03024565463765e-11	5	2	-0.752060710229365	1	1
"ENSG00000185567"	"ENSG00000185567"	2.04734050676719e-14	6.42972742921447e-10	4	1	-0.766007260164878	1	0.833333333333333
"ENSG00000160113"	"ENSG00000160113"	3.99358379656143e-09	1.54694576924148e-09	3	2	0.487563830525065	1	1
"ENSG00000021355"	"ENSG00000021355"	4.60214065053066e-13	6.62147785009659e-09	5	1	0.674184073275504	1	0.833333333333333
"ENSG00000122644"	"ENSG00000122644"	5.232742705482e-07	7.06236661258749e-09	5	1	-0.488910590146756	1	1
"ENSG00000146072"	"ENSG00000146072"	1.2843576175217e-07	1.78853954293441e-08	3	1	-0.857568137805804	0.833333333333333	0.666666666666667
"ENSG00000158864"	"ENSG00000158864"	5.76488952386585e-07	2.66886322093428e-08	3	2	0.374240916083211	1	1
"ENSG00000186395"	"ENSG00000186395"	1.6137602679301e-10	3.77236582774511e-08	3	1	0.592066017015666	1	1
"ENSG00000178741"	"ENSG00000178741"	6.7870256464184e-28	4.93679272373733e-08	3	1	-0.348849339352602	1	1
"ENSG00000163466"	"ENSG00000163466"	4.98660400097791e-08	5.13919336794734e-08	4	1	-0.240494949361591	1	1
"ENSG00000110321"	"ENSG00000110321"	3.34641289391839e-13	9.83273584235467e-08	8	2	0.470245280395582	1	1
"ENSG00000115129"	"ENSG00000115129"	1.94009360872507e-07	1.25982331524665e-07	8	1	-0.678455841496009	1	1
"ENSG00000167642"	"ENSG00000167642"	2.77756301904461e-06	1.30726187395505e-07	3	2	0.319698166702727	1	1
"ENSG00000163634"	"ENSG00000163634"	1.8914007519083e-11	5.80027393411309e-07	4	1	-0.576054969749659	1	1
"ENSG00000070756"	"ENSG00000070756"	4.59771691302459e-43	1.02448770707131e-06	5	1	-0.372718020232888	1	1
"ENSG00000161013"	"ENSG00000161013"	4.32189078874293e-06	1.61302834665247e-06	4	2	0.557003506848398	1	1
"ENSG00000067167"	"ENSG00000067167"	4.09391946669687e-11	1.95762535512206e-06	5	1	0.665493310566962	1	1
"ENSG00000114125"	"ENSG00000114125"	8.25715711577594e-08	1.98591192011703e-06	5	1	0.517609627854252	1	1
"ENSG00000150753"	"ENSG00000150753"	1.16929873359653e-11	4.56660526871138e-06	4	1	0.516137377023327	1	1
"ENSG00000139644"	"ENSG00000139644"	2.40252160637383e-13	1.17079886878623e-05	5	1	0.384056988031852	1	1
"ENSG00000065154"	"ENSG00000065154"	4.73838370129627e-06	2.08093931758397e-05	3	1	0.524857200514862	1	0.833333333333333
"ENSG00000155660"	"ENSG00000155660"	1.0590989426961e-07	2.13395013236113e-05	5	1	-0.619822343385838	1	1
"ENSG00000257727"	"ENSG00000257727"	1.43078488890621e-10	3.19389029313913e-05	4	1	-0.619813855661965	1	1
"ENSG00000183172"	"ENSG00000183172"	2.70356445169589e-09	3.34609416118008e-05	4	1	-0.941058715041823	1	0.666666666666667
"ENSG00000111907"	"ENSG00000111907"	3.36847184584911e-10	4.74551376793791e-05	4	2	-0.437628517766597	1	1
"ENSG00000137818"	"ENSG00000137818"	0.000483710681684132	4.80635457591476e-05	3	2	0.223848898272664	1	1
"ENSG00000154380"	"ENSG00000154380"	8.20942517134926e-05	5.30721040862098e-05	4	1	0.672788048529162	1	0.833333333333333
"ENSG00000177459"	"ENSG00000177459"	7.98452636746205e-05	7.24482844108793e-05	3	1	0.475999587340142	1	0.833333333333333
"ENSG00000148248"	"ENSG00000148248"	1.4657700945287e-06	8.4905126121725e-05	6	2	-0.452755786920043	1	0.833333333333333
"ENSG00000156976"	"ENSG00000156976"	0.000136970814952221	9.32222509012191e-05	5	1	-0.215009451912721	1	1
"ENSG00000108963"	"ENSG00000108963"	7.83378898528889e-06	9.61242471042077e-05	4	1	0.754438341753439	1	0.666666666666667
"ENSG00000132274"	"ENSG00000132274"	1.94009360872507e-07	0.000105392568801933	4	1	-0.613650902204536	1	0.833333333333333
"ENSG00000148700"	"ENSG00000148700"	0.000332798206898025	0.000129045203971593	3	1	-0.754316161383676	0.833333333333333	0.666666666666667
"ENSG00000115963"	"ENSG00000115963"	8.89749510993013e-06	0.000130247708957532	5	2	0.269512326161705	1	1
"ENSG00000141013"	"ENSG00000141013"	6.28868287768375e-06	0.000153176627227354	6	1	-0.641017038531384	1	0.833333333333333
"ENSG00000079462"	"ENSG00000079462"	1.52607321970756e-14	0.000155336134586652	5	1	-0.641274969382447	1	1
"ENSG00000163584"	"ENSG00000163584"	6.77945727715043e-07	0.000175125841888338	3	1	-0.330955536353297	1	1
"ENSG00000149547"	"ENSG00000149547"	1.0244681455495e-06	0.000178673146354043	3	1	-0.538704985977002	1	1
"ENSG00000143977"	"ENSG00000143977"	0.00116464837477522	0.000228876920833588	3	2	-0.250427997149764	1	1
"ENSG00000103415"	"ENSG00000103415"	5.60969011948432e-07	0.000245830375881633	5	1	0.560053639020837	1	1
"ENSG00000108588"	"ENSG00000108588"	0.00175977720174619	0.000260282016694574	3	2	0.551562683256439	1	1
"ENSG00000116350"	"ENSG00000116350"	4.07493404526e-08	0.000277457817460422	3	1	0.46494038917413	1	1
"ENSG00000178104"	"ENSG00000178104"	0.000480037039523212	0.000334295938615381	3	1	0.752561649849524	1	0.666666666666667
"ENSG00000173848"	"ENSG00000173848"	5.58867219310249e-07	0.000340810886052175	3	1	0.678871415720178	1	1
"ENSG00000171124"	"ENSG00000171124"	0.00055996238441893	0.000344449390534296	4	1	-0.696850005489168	1	0.833333333333333
"ENSG00000113312"	"ENSG00000113312"	5.25308809564531e-05	0.000345455361323745	3	1	0.542406256150395	1	1
"ENSG00000165119"	"ENSG00000165119"	4.06226703634643e-10	0.000345728458768958	6	2	-0.270601269289987	1	1
"ENSG00000067836"	"ENSG00000067836"	0.000686734020986754	0.000352053655758368	6	1	-0.588169987275422	1	1
"ENSG00000160789"	"ENSG00000160789"	9.91828473861502e-06	0.00040950531862424	3	1	-0.281157239762	1	1
"ENSG00000154080"	"ENSG00000154080"	0.0029989210690905	0.000429704623697983	3	1	-0.46680865466852	1	1
"ENSG00000145632"	"ENSG00000145632"	1.05143909413285e-05	0.000430317958456073	4	1	-0.379192322638131	1	1
"ENSG00000187522"	"ENSG00000187522"	0.00175977720174619	0.000483850071093322	3	1	-0.589153299994017	1	0.833333333333333
"ENSG00000163882"	"ENSG00000163882"	1.88477091528579e-11	0.000492102821964682	4	1	-0.647058993815594	1	0.833333333333333
"ENSG00000175756"	"ENSG00000175756"	0.00642296926531387	0.000567797721965708	4	1	0.320140657648891	1	1
"ENSG00000173575"	"ENSG00000173575"	0.00340877848108667	0.000701258295914302	4	1	-0.754443998254072	0.833333333333333	0.666666666666667
"ENSG00000114126"	"ENSG00000114126"	0.00207765549389229	0.00089289776878369	5	1	-0.669970806865665	1	1
"ENSG00000104695"	"ENSG00000104695"	2.43661524824577e-08	0.00100308993574398	3	1	0.481199788870934	1	1
"ENSG00000163931"	"ENSG00000163931"	0.0068994304465842	0.00100849270036454	3	2	0.190187870326482	1	1
"ENSG00000125944"	"ENSG00000125944"	3.38419796201796e-19	0.00101034769674106	7	1	-0.394786249042673	1	1
"ENSG00000148908"	"ENSG00000148908"	5.3691366609956e-05	0.00104703986638183	3	1	-0.387261404123446	1	0.833333333333333
"ENSG00000104964"	"ENSG00000104964"	2.5198792669677e-25	0.00112101333967698	7	1	-0.204288313726415	1	1
"ENSG00000143222"	"ENSG00000143222"	3.13213601421287e-20	0.00128000643642664	4	1	0.184799398906695	1	1
"ENSG00000258289"	"ENSG00000258289"	0.00204090819776183	0.00133011911012812	4	1	-0.485852913345377	1	1
"ENSG00000142192"	"ENSG00000142192"	3.29026288393942e-07	0.00136181309729668	7	1	-0.402742134983734	1	1
"ENSG00000042753"	"ENSG00000042753"	0.000603805818628015	0.00150665916897675	5	1	-0.208110207048256	1	1
"ENSG00000260916"	"ENSG00000260916"	3.02651454461241e-11	0.00152761416781623	4	1	-0.666322703331358	1	0.833333333333333
"ENSG00000104852"	"ENSG00000104852"	5.69115451446339e-06	0.00167766322163743	4	1	0.278381635219385	1	1
"ENSG00000013275"	"ENSG00000013275"	0.0103533122961377	0.00170281185297062	3	2	-0.176393444808907	1	1
"ENSG00000185104"	"ENSG00000185104"	8.61042603419453e-05	0.00177474818748588	4	1	-0.669747362546146	1	1
"ENSG00000166971"	"ENSG00000166971"	1.08844725581763e-05	0.00179157416225833	5	1	-0.53229682287077	1	0.666666666666667
"ENSG00000109390"	"ENSG00000109390"	0.00476788366187018	0.00187689347713522	4	2	-0.422797852434687	1	0.833333333333333
"ENSG00000100979"	"ENSG00000100979"	1.25863430397339e-06	0.00202231649204508	4	1	-0.665244057776281	1	0.833333333333333
"ENSG00000170876"	"ENSG00000170876"	0.00557503125514945	0.00206630361202826	3	1	-0.77349675487202	0.833333333333333	0.666666666666667
"ENSG00000176920"	"ENSG00000176920"	0.00342688837457938	0.00220413221586823	4	2	0.46145126119535	1	1
"ENSG00000135373"	"ENSG00000135373"	6.38673860737246e-07	0.00238660091880334	6	1	-0.183756435562875	1	1
"ENSG00000176155"	"ENSG00000176155"	9.67082217620664e-05	0.00251802007105055	3	1	-0.54361234607658	1	0.833333333333333
"ENSG00000104388"	"ENSG00000104388"	2.25025028602555e-14	0.00269599699950379	4	1	-0.977913250573425	1	0.666666666666667
"ENSG00000044115"	"ENSG00000044115"	0.00134357362150786	0.0027536176116387	3	1	-0.551358605676821	1	1
"ENSG00000014216"	"ENSG00000014216"	0.00342857618012037	0.00275440689974177	7	1	-0.183639098861534	1	1
"ENSG00000204711"	"ENSG00000204711"	0.00010866482518556	0.0028247537296169	7	1	0.316658044052269	1	1
"ENSG00000100162"	"ENSG00000100162"	0.00430457512670978	0.00288260249580249	3	1	-0.606174985953763	1	1
"ENSG00000213928"	"ENSG00000213928"	0.0316334196780462	0.00292798038849016	5	1	0.206503723990063	1	1
"ENSG00000134108"	"ENSG00000134108"	0.00438994332334964	0.00328337078355425	3	1	0.773293009783227	0.833333333333333	0.666666666666667
"ENSG00000171155"	"ENSG00000171155"	1.48967270461002e-11	0.00372705030527258	3	1	-0.698280166025717	1	1
"ENSG00000064199"	"ENSG00000064199"	0.00126579781970619	0.004308952566364	3	1	0.937768804703585	0.833333333333333	0.5
"ENSG00000167986"	"ENSG00000167986"	0.00389373042262016	0.00450961626883159	3	1	-0.396368267256776	1	1
"ENSG00000170477"	"ENSG00000170477"	0.000202312928345287	0.00522155308646511	3	1	0.216768360458651	1	1
"ENSG00000147676"	"ENSG00000147676"	0.00172851545820094	0.00526963856792001	3	1	-0.235101770633473	1	1
"ENSG00000136240"	"ENSG00000136240"	0.0204706913188679	0.00574563637601968	3	1	-0.30586869828109	1	1
"ENSG00000142867"	"ENSG00000142867"	0.0147907114533279	0.00590784357077106	3	1	-0.372494185645096	1	1
"ENSG00000101109"	"ENSG00000101109"	0.000865696754002604	0.00651852337636737	3	1	-0.829740930148238	1	0.666666666666667
"ENSG00000023191"	"ENSG00000023191"	0.0457760117082508	0.00659913303802783	4	1	0.188630497890494	1	1
"ENSG00000204536"	"ENSG00000204536"	0.00021771913006961	0.00704943016660159	3	1	-0.718109372844321	1	0.666666666666667
"ENSG00000115561"	"ENSG00000115561"	3.07795013369644e-08	0.00725448183524505	4	1	0.307381181314956	1	1
"ENSG00000063854"	"ENSG00000063854"	1.86007468401992e-15	0.00749569305943662	4	1	-0.430336391709371	1	1
"ENSG00000149658"	"ENSG00000149658"	0.000133938457723188	0.00774444923031888	4	1	0.68154781297635	1	0.666666666666667
"ENSG00000144908"	"ENSG00000144908"	0.0289827588739106	0.0077667212390621	4	1	-0.406338805346239	1	1
"ENSG00000006534"	"ENSG00000006534"	0.0306862779036302	0.008319313390035	3	2	-0.612372872711788	1	0.833333333333333
"ENSG00000284194"	"ENSG00000284194"	0.00455886649582081	0.00865134678126385	4	1	-0.255061173798586	1	1
"ENSG00000174851"	"ENSG00000174851"	0.00230483836075237	0.00915520136812252	4	1	0.233206283053921	1	1
"ENSG00000132254"	"ENSG00000132254"	1.33515902095974e-07	0.00936249458672625	7	1	-0.513807359443956	1	1
"ENSG00000167085"	"ENSG00000167085"	0.0027332563814984	0.00950127098128174	3	1	0.298258735472814	1	1
"ENSG00000169908"	"ENSG00000169908"	5.25308809564531e-05	0.00951817468203082	3	1	0.150548245565629	1	1
"ENSG00000102854"	"ENSG00000102854"	7.60576998604081e-06	0.00972752839816974	12	1	0.234446447750162	1	1
"ENSG00000144028"	"ENSG00000144028"	1.35471042421728e-12	0.0110483544494421	4	1	0.888810884899794	1	0.666666666666667
"ENSG00000198830"	"ENSG00000198830"	4.33710731938063e-33	0.0115590342822444	6	1	-0.975227152835701	1	0.666666666666667
"ENSG00000069345"	"ENSG00000069345"	0.049073044357084	0.0119593921124707	4	2	0.305451296454654	1	1
"ENSG00000120860"	"ENSG00000120860"	0.00428882520463778	0.0125395610696582	3	1	0.452164805335548	1	1
"ENSG00000145779"	"ENSG00000145779"	3.63340923527582e-09	0.0127470764468895	6	1	-0.362578003175325	1	1
"ENSG00000167757"	"ENSG00000167757"	0.0109508994483453	0.0132222299919888	4	2	0.201116547939484	1	1
"ENSG00000163660"	"ENSG00000163660"	0.000417901367807902	0.0133082502309791	10	1	-0.348607049329076	1	0.833333333333333
"ENSG00000172809"	"ENSG00000172809"	0.0090212044276114	0.0133435175171499	3	1	0.729518584443532	0.833333333333333	0.833333333333333
"ENSG00000171314"	"ENSG00000171314"	9.98011878259204e-17	0.0133656186221002	3	1	-0.297311859124301	1	1
"ENSG00000121310"	"ENSG00000121310"	0.000165841202226184	0.013535804576526	7	1	-0.30668753132182	1	1
"ENSG00000114638"	"ENSG00000114638"	0.00494213054336575	0.0140372156510248	4	1	0.177749322144604	1	1
"ENSG00000183684"	"ENSG00000183684"	0.0266829863915569	0.0143945002316211	3	1	-0.592335878457575	1	0.833333333333333
"ENSG00000184584"	"ENSG00000184584"	0.0205101031327111	0.014730727816445	6	1	-0.406756629381292	1	1
"ENSG00000164904"	"ENSG00000164904"	3.56777442442569e-12	0.0150450206144028	6	1	0.769230474014843	1	0.833333333333333
"ENSG00000140416"	"ENSG00000140416"	2.31998020879249e-07	0.0156882085324357	5	1	0.546331493867179	1	1
"ENSG00000128609"	"ENSG00000128609"	0.00745713102357582	0.0158228403280985	3	1	0.162187458192874	1	1
"ENSG00000070526"	"ENSG00000070526"	1.38859094990158e-06	0.0165288252846872	5	1	0.237817698236664	1	1
"ENSG00000136830"	"ENSG00000136830"	0.00399174760040856	0.0179919333534342	4	1	0.606148390720664	1	0.833333333333333
"ENSG00000137274"	"ENSG00000137274"	3.38285366467228e-06	0.0186230624885456	5	1	0.765062980187834	1	0.833333333333333
"ENSG00000172927"	"ENSG00000172927"	0.0352106944921289	0.0186258689377644	4	1	0.560812549764919	1	0.833333333333333
"ENSG00000110492"	"ENSG00000110492"	1.06047026380359e-13	0.0189122412405812	6	2	0.337276780697401	1	1
"ENSG00000106853"	"ENSG00000106853"	6.05935900984643e-05	0.0194102015549531	6	1	0.190936626946645	1	1
"ENSG00000160752"	"ENSG00000160752"	1.22943451070804e-23	0.0197251745058997	8	1	-0.404663996314103	1	1
"ENSG00000167136"	"ENSG00000167136"	6.4703291854911e-07	0.0200733433665982	3	1	-0.21961497821022	1	1
"ENSG00000149196"	"ENSG00000149196"	0.00300222980781003	0.0207831860065919	3	1	0.381687177718356	1	1
"ENSG00000067064"	"ENSG00000067064"	0.000165841202226184	0.0210224115267905	5	1	-0.367831783575624	1	1
"ENSG00000110330"	"ENSG00000110330"	1.81533712892963e-05	0.021616058092403	4	1	0.546899497379171	1	0.833333333333333
"ENSG00000127125"	"ENSG00000127125"	0.000270262482681594	0.0221406766701381	5	2	0.251985911131839	1	1
"ENSG00000144848"	"ENSG00000144848"	0.000385855322070126	0.0225432052536932	4	1	0.278432567230389	1	1
"ENSG00000198492"	"ENSG00000198492"	2.69889470110068e-05	0.0233009012047291	4	1	-0.190134009783582	1	1
"ENSG00000135387"	"ENSG00000135387"	0.000545989715337645	0.0256330498803709	3	1	-0.663474865846443	0.833333333333333	0.833333333333333
"ENSG00000122970"	"ENSG00000122970"	0.0427592373035177	0.0264861934690522	3	1	0.56332774393599	0.833333333333333	0.833333333333333
"ENSG00000065882"	"ENSG00000065882"	0.00726286492473126	0.0268370053583864	4	1	0.629629629625353	0.833333333333333	0.833333333333333
"ENSG00000114115"	"ENSG00000114115"	0.023516001372313	0.0274030313780383	3	1	-0.208824058932447	1	1
"ENSG00000198356"	"ENSG00000198356"	0.0114485541591802	0.028467064298608	3	1	0.21433448216239	1	1
"ENSG00000254505"	"ENSG00000254505"	0.000723005583053778	0.0288775192676522	3	1	-0.188842755063251	1	1
"ENSG00000176945"	"ENSG00000176945"	0.000944587514571591	0.0310032182822755	6	1	-0.269421507881047	1	1
"ENSG00000089063"	"ENSG00000089063"	0.0420031347898541	0.0324306189844146	6	1	-0.137571252914941	1	1
"ENSG00000112110"	"ENSG00000112110"	1.68393549414082e-07	0.0326825437169759	3	1	-0.229894631729009	1	1
"ENSG00000163235"	"ENSG00000163235"	0.00340877848108667	0.0328582125686133	3	1	-0.827240448371989	0.833333333333333	0.666666666666667
"ENSG00000071462"	"ENSG00000071462"	0.00104551179021854	0.0363401324027631	3	1	0.141731034952861	1	1
"ENSG00000168310"	"ENSG00000168310"	1.37137988490696e-05	0.0367479227141683	5	1	0.367232339487438	1	1
"ENSG00000167460"	"ENSG00000167460"	0.00047876233396754	0.0376730105634924	6	1	-0.199203015266486	1	1
"ENSG00000136682"	"ENSG00000136682"	0.0093819401338093	0.038912974553539	6	1	-0.452588863548555	1	0.833333333333333
"ENSG00000091073"	"ENSG00000091073"	0.00109285316374138	0.039457618852407	9	1	-0.421350726637582	0.833333333333333	0.833333333333333
"ENSG00000177989"	"ENSG00000177989"	0.00774255534785287	0.0400674025744089	7	1	0.242561547354917	1	1
"ENSG00000122378"	"ENSG00000122378"	0.0369886640001157	0.0410883502154845	4	1	-0.294862864893015	1	1
"ENSG00000057663"	"ENSG00000057663"	0.01907480201643	0.041644022709582	8	1	0.489663673474703	0.833333333333333	0.666666666666667
"ENSG00000108244"	"ENSG00000108244"	2.23853569191765e-14	0.0419399957397239	5	1	0.238443347218895	1	1
"ENSG00000171604"	"ENSG00000171604"	2.62502015508464e-07	0.0420188390877518	8	1	0.176919408492663	1	1
"ENSG00000244754"	"ENSG00000244754"	0.0250883975388401	0.0420561911703246	7	1	0.410264888809433	1	0.833333333333333
"ENSG00000006625"	"ENSG00000006625"	4.18134416140142e-05	0.0445259124938881	4	1	0.301370472579528	1	1
"ENSG00000173467"	"ENSG00000173467"	1.65462673198751e-07	0.0461991480841788	4	1	-0.170131150009618	1	1
"ENSG00000238142"	"ENSG00000238142"	0.0489515848541383	0.0465999702111143	3	1	-0.518789068478122	1	1
"ENSG00000115540"	"ENSG00000115540"	0.000834613321710643	0.0471753077366035	3	1	-0.509086727667475	0.833333333333333	0.833333333333333
"ENSG00000173801"	"ENSG00000173801"	7.10018674620186e-20	0.0481153852872726	8	1	-0.558003812535868	1	0.833333333333333
"ENSG00000172062"	"ENSG00000172062"	0.0101969442404245	0.0481666406380902	3	1	0.506012923410539	1	1
